field,score
tls_tls.record_tls.handshake_Extension: psk_key_exchange_modes (len=2)_tls.handshake.extension.type_4,727
tls_tls.record_tls.handshake_Extension: server_name (len=16)_Server Name Indication extension_tls.handshake.extensions_server_name_type_3,726
tls_tls.record_tls.handshake_tls.handshake.ja3_3,725
tls_tls.record_tls.handshake_tls.handshake.ja3_full_1,724
eth_eth.dst_tree_eth.dst_resolved_4,723
tcp_tcp.flags_tree_tcp.flags.syn_1,722
tls_tls.record_tls.handshake_Extension: status_request (len=5)_tls.handshake.extension.type_1,721
eth_eth.src_tree_eth.addr_3,720
ip_ip.dsfield_tree_ip.dsfield.dscp_3,719
tls_tls.record_tls.handshake_Extension: supported_groups (len=6)_tls.handshake.extension.type_3,718
tls_tls.record_tls.handshake_Extension: server_name (len=26)_Server Name Indication extension_tls.handshake.extensions_server_name_type_1,717
frame_frame.ignored_2,716
tls_tls.record_tls.handshake_Extension: signature_algorithms (len=26)_tls.handshake.extension.type_3,715
tls_tls.record_tls.handshake_Extension: server_name (len=19)_tls.handshake.extension.type_3,714
tls_tls.record_tls.handshake_Extension: psk_key_exchange_modes (len=2)_tls.handshake.extension.len_2,713
frame_frame.time_relative_2,712
tls_tls.record_tls.handshake_Extension: server_name (len=17)_tls.handshake.extension.type_1,711
eth_eth.src_tree_eth.addr.oui_2,710
tcp_tcp.flags_tree_tcp.flags.ecn_3,709
tls_tls.record_tls.handshake_Extension: supported_groups (len=8)_tls.handshake.extensions_supported_groups_tls.handshake.extensions_supported_group_1,708
tls_tls.record_tls.handshake_Extension: psk_key_exchange_modes (len=2)_tls.extension.psk_ke_modes_length_4,707
ip_ip.frag_offset_2,706
eth_eth.dst_tree_eth.addr.oui_3,705
eth_eth.src_tree_eth.addr.oui_resolved_4,704
tls_tls.record_tls.handshake_Extension: server_name (len=15)_Server Name Indication extension_tls.handshake.extensions_server_name_len_4,703
tls_tls.record_tls.handshake_Extension: server_name (len=21)_tls.handshake.extension.len_2,702
tls_tls.record_tls.handshake_tls.handshake.version_2,701
ip_ip.flags_tree_ip.flags.df_3,700
tls_tls.record_tls.handshake_Extension: server_name (len=20)_Server Name Indication extension_tls.handshake.extensions_server_name_2,699
tcp_tcp.checksum_2,698
tls_tls.record_tls.handshake_Extension: signature_algorithms (len=26)_tls.handshake.extension.len_1,697
tls_tls.record_tls.handshake_tls.handshake.ja3_full_2,696
tls_tls.record_tls.handshake_Extension: renegotiation_info (len=1)_Renegotiation Info extension_tls.handshake.extensions_reneg_info_len_3,695
tls_tls.record_tls.handshake_Extension: signature_algorithms (len=20)_tls.handshake.extension.len_1,694
tcp_tcp.flags_tree_tcp.flags.fin_0,693
ip_ip.frag_offset_3,692
tcp_tcp.flags_tree_tcp.flags.ns_4,691
tcp_tcp.analysis_tcp.analysis.push_bytes_sent_2,690
tls_tls.record_tls.record.length_4,689
tcp_tcp.checksum.status_2,688
tls_tls.record_tls.handshake_Extension: server_name (len=23)_tls.handshake.extension.len_3,687
tls_tls.record_tls.handshake_Extension: server_name (len=19)_Server Name Indication extension_tls.handshake.extensions_server_name_2,686
tls_tls.record_tls.handshake_Extension: ec_point_formats (len=2)_tls.handshake.extensions_ec_point_formats_tls.handshake.extensions_ec_point_format_2,685
tls_tls.record_tls.handshake_Extension: server_name (len=23)_tls.handshake.extension.type_2,684
ip_ip.frag_offset_4,683
eth_eth.src_tree_eth.src.ig_2,682
tls_tls.record_tls.handshake_Extension: post_handshake_auth (len=0)_tls.handshake.extension.len_2,681
tcp_tcp.flags_tree_tcp.flags.fin_2,680
tcp_tcp.stream_3,679
tls_tls.record_tls.handshake_Extension: psk_key_exchange_modes (len=2)_tls.extension.psk_ke_modes_length_1,678
tls_tls.record_tls.handshake_Extension: server_name (len=15)_tls.handshake.extension.len_2,677
tls_tls.record_tls.handshake_Extension: server_name (len=16)_tls.handshake.extension.len_1,676
tls_tls.record_tls.handshake_Extension: signature_algorithms (len=26)_tls.handshake.extension.len_3,675
ip_ip.id_3,674
tcp_tcp.window_size_3,673
"tls_tls.record_tls.handshake_Extension: key_share (len=38)_Key Share extension_Key Share Entry: Group: x25519, Key Exchange length: 32_tls.handshake.extensions_key_share_group_2",672
tls_tls.record_tls.handshake_Extension: supported_groups (len=6)_tls.handshake.extensions_supported_groups_tls.handshake.extensions_supported_group_1,671
tls_tls.record_tls.handshake_Extension: server_name (len=21)_tls.handshake.extension.type_2,670
frame_frame.len_1,669
eth_eth.dst_1,668
tls_tls.record_tls.handshake_tls.handshake.ja3_1,667
eth_eth.src_tree_eth.src_resolved_1,666
tls_tls.record_tls.handshake_Extension: psk_key_exchange_modes (len=2)_tls.extension.psk_ke_modes_length_2,665
tcp_tcp.flags_tree_tcp.flags.ns_2,664
tcp_tcp.flags_tree_tcp.flags.res_1,663
tls_tls.record_tls.handshake_Extension: ec_point_formats (len=2)_tls.handshake.extension.type_2,662
tls_tls.record_tls.handshake_Extension: server_name (len=15)_tls.handshake.extension.type_4,661
tcp_tcp.srcport_3,660
tcp_tcp.ack_3,659
ip_ip.version_2,658
tcp_tcp.len_2,657
frame_frame.marked_3,656
tls_tls.record_tls.handshake_tls.handshake.comp_methods_tls.handshake.comp_method_1,655
tcp_tcp.seq_raw_4,654
tcp_tcp.flags_1,653
tls_tls.record_tls.handshake_Extension: supported_groups (len=6)_tls.handshake.extensions_supported_groups_tls.handshake.extensions_supported_group_4,652
tls_tls.record_tls.handshake_Extension: supported_groups (len=6)_tls.handshake.extensions_supported_groups_tls.handshake.extensions_supported_group_3,651
tls_tls.record_tls.handshake_Extension: server_name (len=19)_Server Name Indication extension_tls.handshake.extensions_server_name_list_len_2,650
tls_tls.record_tls.handshake_Extension: server_name (len=21)_Server Name Indication extension_tls.handshake.extensions_server_name_list_len_2,649
tls_tls.record_tls.handshake_Extension: status_request (len=5)_tls.handshake.extensions_status_request_exts_len_3,648
eth_eth.dst_tree_eth.addr.oui_2,647
tls_tls.record_tls.handshake_Extension: signature_algorithms (len=20)_tls.handshake.sig_hash_alg_len_2,646
tls_tls.record_tls.handshake_Extension: application_layer_protocol_negotiation (len=14)_tls.handshake.extensions_alpn_list_tls.handshake.extensions_alpn_str_2,645
